"barrio","total","nac_87","nac_88","nac_89","nac_90","nac_91","nac_92","nac_93","nac_94","nac_95","nac_96","nac_97","nac_98","nac_99","nac_00","nac_01","nac_02","nac_03","nac_04","nac_05","nac_06","nac_07","nac_08","nac_09","nac_10","nac_11","nac_12","nac_13","nac_14","nac_15","nac_16","nac_17"
"El Gran Limonar","428","25","17","18","20","26","26","23","20","18","22","14","20","19","10","12","6","8","13","4","13","9","9","4","7","5","9","8","10","8","15","10"
"El Lido","418","25","23","29","22","25","17","25","28","24","14","18","14","15","16","10","16","10","12","9","7","5","5","2","8","8","2","3","9","6","4","7"
"Tejares - Cristales","395","14","17","21","14","11","19","15","23","16","20","9","12","7","18","15","9","15","12","11","13","9","9","9","9","10","5","9","9","14","9","12"
"Juanambú","385","24","24","16","7","13","20","11","7","14","19","10","15","15","13","15","14","11","13","9","15","14","6","8","10","6","9","9","9","7","15","7"
"Sector Geográfico Tres Cruces","329","10","14","7","7","11","4","14","7","8","9","14","6","5","9","11","15","13","12","9","16","14","9","12","8","6","9","14","14","18","12","12"
"Ciudadela Pasoancho","310","14","9","13","13","11","13","17","13","8","14","12","11","10","16","8","8","8","8","7","9","9","12","6","8","7","5","13","9","8","6","5"
"Alto Normandia","302","23","12","27","7","8","8","6","4","7","6","6","3","6","3","9","8","10","5","6","7","9","7","11","9","8","12","15","11","16","20","13"
"La Cascada","293","14","6","14","15","13","13","11","18","13","10","7","8","18","6","13","11","6","11","11","10","5","10","4","7","7","7","8","4","5","5","3"
"Camino Real - Joaquin Borrero Sinisterra","292","14","9","15","12","13","10","22","17","13","12","7","19","10","9","9","10","3","13","7","4","7","5","7","10","7","5","4","4","2","6","7"
"San Fernando Nuevo","277","15","11","15","18","15","20","10","13","18","12","12","14","10","6","10","5","8","7","4","7","5","4","4","6","2","5","4","6","4","4","3"
"Santa Rita","272","9","15","11","10","18","14","13","9","11","10","13","15","4","6","10","12","7","9","10","9","5","10","3","5","4","4","5","5","3","5","8"
"Centenario","256","15","12","11","10","16","10","13","17","7","8","6","16","7","7","10","6","12","5","6","7","6","7","8","4","2","4","5","1","7","6","5"
"Urbanización Nueva Granada","251","14","7","8","13","17","8","13","16","13","14","8","12","9","5","7","8","4","9","3","6","3","3","5","3","10","4","7","4","6","6","6"
"San Vicente","232","10","16","12","22","15","11","11","10","5","11","13","10","4","2","5","7","6","5","7","6","2","5","10","2","5","4","1","8","2","3","2"
"La Riverita","227","5","5","10","5","7","6","8","8","8","6","11","12","9","7","12","9","12","10","13","9","10","10","4","3","6","6","7","2","1","1","5"
"Granada","220","15","9","12","13","11","8","5","12","12","8","7","9","9","8","2","6","5","4","5","6","10","3","5","7","4","5","5","2","5","7","1"
"Los Cámbulos","197","10","10","10","8","7","8","8","10","12","4","13","14","6","2","1","5","9","4","3","4","6","0","5","4","5","4","5","7","4","4","5"
"Bochalema","196","6","5","8","5","4","4","9","7","7","11","17","12","11","12","6","1","9","1","5","1","7","2","6","0","5","3","2","8","8","8","6"
"Urbanización Tequendama","189","7","6","9","7","10","6","9","8","6","6","9","9","6","6","4","9","5","9","6","6","11","5","5","3","2","0","5","4","4","4","3"
"Versalles","181","12","18","12","12","11","8","8","8","8","7","8","8","5","3","5","6","2","5","2","2","6","2","0","3","4","4","3","3","1","2","3"
"El Peñón","180","13","10","9","14","9","8","11","12","7","8","3","5","5","7","8","4","3","5","0","2","5","2","4","1","2","1","3","3","6","4","6"
"Bosques del Limonar","171","9","6","6","8","12","5","11","7","7","7","11","7","6","4","4","4","4","10","2","0","5","4","4","3","6","2","0","3","4","5","5"
"El Refugio","148","5","2","6","12","6","8","4","6","5","4","6","3","9","6","4","4","2","3","6","5","4","6","3","5","3","3","6","3","3","3","3"
"Parque La Bandera","145","4","3","1","5","6","6","7","5","7","10","7","5","7","9","5","6","4","4","5","8","5","1","3","1","5","4","2","1","5","1","3"
"Unidad Residencial El Coliseo","141","2","6","3","5","6","2","6","5","2","7","9","4","12","0","8","2","6","2","3","7","6","3","5","2","5","5","3","4","2","8","1"
"Unidad Residencial Santiago de Cali","136","5","6","6","7","8","10","10","8","8","6","4","7","7","3","4","2","2","5","2","1","4","1","2","1","2","2","3","4","1","3","2"
"Brisas de los Cristales","118","4","5","2","2","5","1","3","3","4","4","4","4","3","3","2","4","1","1","3","5","3","2","4","4","6","3","5","6","7","8","7"
"Menga","115","4","4","2","4","8","7","3","9","2","2","4","2","2","2","1","8","3","4","3","3","2","2","5","5","3","2","3","2","5","3","6"
"PP6-PP8-PP10","112","2","5","5","5","3","4","7","4","3","6","5","5","5","6","4","3","3","6","2","2","3","4","2","4","3","3","1","1","2","3","1"
"Cañaveral","110","6","3","3","4","4","4","7","4","8","7","7","1","5","2","3","2","2","3","2","1","3","5","2","3","0","1","1","2","6","5","4"
"Vipasa","106","6","5","2","4","4","7","4","4","5","2","1","8","0","2","4","2","4","2","6","4","2","2","2","5","5","2","4","3","2","2","1"
"Santa Bárbara","93","4","2","1","5","2","6","5","8","7","5","2","4","2","5","3","5","2","2","2","2","1","3","1","4","1","2","1","3","1","1","1"
"Eucaristico","71","2","3","1","4","8","4","4","4","5","1","3","0","3","2","3","1","4","3","1","1","1","3","1","1","0","1","4","2","1","0","0"
"Urbanización Militar","63","4","3","3","3","2","3","1","3","4","3","3","1","1","1","4","1","2","0","2","4","2","1","5","2","2","0","1","1","1","0","0"
"3 de Julio","50","3","5","3","2","4","3","2","2","5","2","2","1","1","0","0","2","0","0","1","0","0","1","3","1","1","2","1","0","1","2","0"
"El Limonar","45","2","0","0","3","2","3","4","1","0","2","0","1","3","1","1","3","1","1","3","0","0","3","3","2","0","1","0","3","2","0","0"
"Club Campestre","42","1","1","2","0","1","1","1","2","5","1","1","1","2","3","0","1","2","1","2","1","3","1","2","0","2","0","4","0","1","0","0"
"Las Vegas del Lili","42","2","2","2","0","1","0","2","3","1","0","1","0","2","0","2","0","1","4","2","3","2","2","0","0","2","1","1","0","3","1","2"
"Miraflores","38","2","3","2","0","0","0","4","3","3","2","2","2","2","2","1","1","1","0","2","2","0","1","1","1","0","0","0","0","1","0","0"
"La Campiña","35","3","1","2","1","1","2","2","2","2","1","4","0","2","0","1","0","0","2","1","1","1","0","0","2","0","0","1","0","0","2","1"
"Ciudadela Comfandi","23","2","0","3","1","0","1","1","0","1","2","0","1","0","0","0","0","0","0","1","0","0","0","3","1","3","0","1","0","0","1","1"
"Ciudad de Los Alamos","22","0","0","2","1","1","0","3","1","4","0","2","1","1","0","1","0","0","0","2","0","0","0","1","0","1","0","1","0","0","0","0"
"La Merced","20","2","0","2","0","1","0","1","2","1","1","1","3","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0"
"Urbanización La Merced","19","1","1","1","1","1","2","0","1","1","1","2","0","0","0","0","1","2","0","0","0","1","0","1","0","1","0","0","1","0","0","0"
"Los Guayacanes","18","0","0","0","1","0","0","1","0","0","3","0","1","0","1","2","0","1","1","1","0","1","1","0","0","1","0","1","2","0","0","0"
"Mameyal","18","0","1","2","0","1","2","0","1","0","1","1","0","0","1","0","0","0","1","1","0","1","0","3","0","0","0","0","0","0","0","2"
"Altos de Menga","18","0","2","1","0","0","1","3","1","0","0","6","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0"
"Primero de Mayo","18","2","1","0","0","1","0","2","0","1","1","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","1"
"Villa del Prado - El Guabito","17","1","1","0","0","0","0","0","0","0","1","2","0","0","3","0","0","0","0","0","0","1","1","0","1","0","0","0","1","2","2","1"
"El Sena","15","0","2","1","0","0","0","2","1","1","2","1","0","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0"
